accession	gene_name
C4XBC3	ompC
G2JVL2	LMOG_01756
Q5HE38	SACOL2157
P0ACH5	marA
P27245	marR
Q69HT9	mco
P64883	mctB
P13254	mdeA
P0AEY8	mdfA
Q9X769	lltB
D0ZND8	mdtA
P76397	mdtA
D0ZND9	yegN
P76398	mdtB
D0ZNE0	yegO
P76399	mdtC
P37636	mdtE
P37637	mdtF
P25744	mdtG
P69210	mdtI
Q3Z1V3	mdtJ
P37340	mdtK
P39386	mdtM
P32716	mdtN
Q7A7N0	mepA
P0C070	mepB
P0C071	mepC
P16171	merA
P08662	merA
E3VST6	merA
O08449	merA
P0A0E5	merA
O66017	merA
Q934S5	merA
O07303	merB
P08653	merB
P08664	merB
Q52396	merB
P16172	merB1
Q9XDX3	merB1
Q9WWL2	merB2
Q7DJN2	merB2
Q7DHE7	merB3
Q9RHR0	merB3
O66048	merC
P22905	merC
O66022	merD
O66018	merD
P06689	merD
P08654	merD
Q5NUV1	merD
Q9Z3Y7	merD
Q52104	Q52104
Q79BG5	urf1
Q79BE4	Q79BE4
P06690	merE
Q2QCN0	merF
O07302	merG
B2I419	merH
Q934S6	merP
P13113	merP
O07301	merP
Q7DHE4	merP
H6WCN4	merP
O66016	merP
O66047	merP
P22874	merR
P0A183	merR
H6WCN2	merR
P13111	merR
Q79BG7	merR
Q934S8	merR
P22853	merR1
O07300	merR1
Q9WWL1	merR2
Q7DKL2	merR2
Q79B70	merR
Q934S7	merT
Q52397	merT
Q79BG6	merT
Q79F00	merT
P94185	merT
P13112	merT
P08656	merT
Q7DHE5	merT
H6WCN3	merT-P
P52477	mexA
P52002	mexB
Q51395	mexC
Q51396	mexD
Q1IB41	mexE
Q4KBN7	mexF
Q9HWH4	mexI
Q9HXW3	PA3677
Q9HXW4	PA3676
P52003	mexR
O87785	mexT
Q9HW28	PA4374
Q9HW27	PA4375
Q9ZNG9	mexX
Q9ZNG8	mexY
P36640	mgtA
P0ABB8	mgtA
O53858	MT0869
P69926	mmr
O34385	mntA
P0A769	mntH
P76264	mntP
P0A9F1	mntR
Q72FN6	modA
P37329	modA
Q72FN2	modB
P0AF01	modB
Q72FN3	modC
P09833	modC
P0A9G8	modE
Q88IN1	PP_2968
Q88IN0	PP_2969
Q9WW32	mtrA
P43505	mtrC
Q5F725	NGO1364
B4RN86	NGK_1596
B4RN92	NGK_1602
P39897	mtrR
P0CI28	mymT
Q44586	nccA
Q44585	nccB
Q44584	nccC
Q44583	nccH
Q44587	nccN
Q44582	nccX
Q44581	nccY
Q06VT3	ncrA
Q1KLR2	ncrA
Q8VTR6	ncrA
Q06VT2	ncrB
Q1KLR1	ncrB
Q8VTR5	ncrB
D5CKG5	ECL_A111
Q1KLR0	ncrC
Q8VTR4	ncrC
Q06VT0	ncrY
Q8VTR3	ncrY
B8GZE9	CCNA_02473
P17117	nfsA
P96454	nhlF
Q92Z60	SMa1163
P33590	nikA
P33591	nikB
P0AFA9	nikC
P33593	nikD
P33594	nikE
P0A6Z6	nikR
Q6RUG3	nirA
Q6RUG2	nirB
Q6RUG1	nirC
Q6RUG0	nirD
Q48262	nixA
O69711	nmtR
P0A0J7	norA
Q8NWQ5	norB
Q9F5N7	norM
F0KND8	entS
Q55935	slr0794
F7UKI9	nreB
F7UKI5	sll0797
F7UKI4	sll0798
P37592	ompD
Q51397	oprJ
Q51487	oprM
P95423	oprN
Q69HW3	oqxA
Q69HW2	oqxB
B6CM35	oscA
P31554	lptD
C4WZN6	oxyR
Q9I6H1	PA0320
Q58AJ6	pbrA
Q58AJ7	pbrB
Q1LAL8	pbrD
D8IQ72	pbrR
Q5GR69	pbrT
R4IUI7	pcm
Q47452	pcoA
Q47453	pcoB
Q47454	pcoC
Q47455	pcoD
Q47459	pcoE
Q47456	pcoR
Q47457	pcoS
Q8DPQ6	norM
D5AQ60	RCAP_rcc00882
Q2G282	perR
P52093	ftnA
P21441	pgpA/ltpgpA
C4X6T6	phoP
C4X6T5	phoQ
P0AFJ7	pitA
Q9I3Y3	pmpM
P0A4K4	pmrA
Q70FH0	pmrA
Q70FG9	pmrB
Q70FH1	pmrC
Q8ZNF4	ais
P07654	pstA
P0AAH0	pstB
P0AGH8	pstC
P0AG82	pstS
P0A0J9	qacA
Q7WUJ5	qacB
P14319	qacC
P0AGC9	qacE
Q7BQY4	qacEdelta1
Q9X2N9	qacF
O87866	qacG
O87868	qacH
Q84EL2	qacJ
P0A0N4	qacR
Q82YU7	EF_A0010
P76425	rcnA
P64534	rcnB
P64530	rcnR
Q9HTL3	recG
B5L350	recG
O07434	ricR
P0ACI0	rob
P35540	rpoS
Q51426	ruvB
B5L348	B5L348
D1RKV4	sdeA
Q84GI9	sdeB
Q7WSD6	sdeX
Q7WSD5	sdeY
Q849Q9	sepA
Q9ZHC9	silA
Q9ZHD0	silB
Q9ZHD2	silC
Q9Z4N3	silE
Q9ZHD1	ORF96
Q9ZHC7	silP
Q9ZHD3	silR
Q9ZHD4	silS
Q9XCS2	sitA
Q9XCS1	sitB
Q9XCS0	sitC
Q9XCR9	sitD
A7VN01	smdA
A7VN02	smdB
I0KSX9	smeD
I0KSX8	smeE
Q9F239	smeF
Q5MXJ5	smeT
Q2AAU2	smfY
C7SLZ1	smrA
P30331	smtA
P30340	smtB
D0ZXQ3	smvA
P00448	sodA
P53652	sodA
P53641	sodB
P0AGD3	sodB
P0ACS2	soxR
P0A9E2	soxS
O31099	srpA
O31100	srpB
O31101	srpC
Q55027	srpC
Q9R9T9	srpR
Q9R9U0	srpS
A7VN75	ssmE
P69937	sugE
Q71UZ7	tbtA
Q71UZ6	tbtB
Q71UZ5	tbtM
Q71UZ4	tbtR
Q8VPE6	tcrB
P25396	tehA
P25397	tehB
P18778	terA
P18779	terB
P18780	terC
P18781	terD
P18782	terE
P75010	terW
Q52353	terZ
P02930	tolC
R4ITT0	tolCsm
O33548	trgA
O07841	trgB
Q663F0	triA
Q663E9	triB
Q663E8	triC
P96116	troA
P96117	troB
P96118	troC
P96119	troD
P96120	troR
Q9WWZ9	ttgA
O52248	ttgB
Q9WWZ8	ttgC
Q9KWV5	ttgD
Q9KWV4	ttgE
Q9KWV3	ttgF
Q93PU5	ttgG
Q93PU4	ttgH
Q93PU3	ttgI
Q9AIU0	ttgR
E0X9D2	E0X9D2
Q93PU6	ttgV
Q93PU7	ttgW
Q72FN4	DVU_0179
Q93KD6	tupA
Q93KD5	tupB
Q93KD4	tupC
Q9KKV4	VCA0996
O51918	vceA
O51919	vceB
Q9KS51	VC1409
Q9KS52	VC1408
Q9KRU4	norM
F8RKZ1	VcrM
Q9KVI1	VC_0165
Q9KVI2	VC_0164
Q9KR86	VC1756
Q9KR85	VC1757
A6P7H2	vexE
A6P7H3	vexF
Q9KTI8	VC0914
Q9KRG9	VC1673
Q2AAU4	vmeA
Q2AAU3	vmeB
Q87TN0	VP0039
Q87TN1	VP0038
Q87R58	VP0940
Q87R57	VP0941
Q87QH3	VP1176
Q87QH2	VP1177
Q87QH1	VP1178
Q87LY5	VP2473
Q87LY6	VP2472
Q87IY6	VPA0470
Q87IY5	VPA0471
Q87HZ9	VPA0807
Q87HZ8	VPA0808
Q87HZ7	VPA0809
Q87GX4	VPA1191
Q87GX5	VPA1190
Q93HR7	vmrA
Q87SJ8	VP0425
Q8U4K5	wtpA
Q8U4K4	wtpB
Q8U4K3	wtpC
Q9R7V3	ybtP
Q9Z375	ybtQ
P0AB49	ychH
C0SP95	ycnJ
P94433	ycnK
D0ZXP9	yddG
P31130	ydeI
P76135	ydeO
P77561	ydeP
Q56952	yfeA
Q56953	yfeB
Q56954	yfeC
Q56955	yfeD
O06473	yfmO
O06474	yfmP
P0ADU5	ygiW
P64614	yhcN
P0AGE6	yieF
P09162	yjaA
P49856	ykkC
P49857	ykkD
P75993	ariR
P64519	yodD
Q46871	yqjH
P44137	HI_1249
P44136	HI_1248
