accession	gene_name
WP_058700877	pstC
WP_047733184	pstC
WP_032652026	pstC
WP_032615515	pstC
WP_059512319	pstC
WP_096946521	pstC
WP_045853736	pstC
WP_049128944	pstC
WP_004871867	pstC
WP_004116734	pstC
WP_045378142	pstC
WP_088168021	pstC
WP_023309793	pstC
WP_029590027	pstC
WP_022649877	pstC
WP_048241615	pstC
WP_031522277	pstC
WP_000741611	pstC
WP_095102349	pstC
WP_064540617	pstC
WP_041143346	pstC
WP_064383227	pstC
WP_015703914	pstC
WP_004202302	pstC
WP_049047195	pstC
WP_032644260	pstC
WP_032640314	pstC
WP_008500185	pstC
WP_024907883	pstC
WP_013099411	pstC
WP_023333924	pstC
WP_028017768	pstC
WP_024551301	pstC
WP_047347413	pstC
WP_059180671	pstC
WP_090088044	pstC
WP_039080012	pstC
WP_049848764	pstC
WP_004151548	pstC
WP_052284578	pstC
WP_035893604	pstC
WP_062776650	pstC
WP_008806729	pstC
WP_045396000	pstC
WP_080828414	pstC
WP_049003815	pstC
WP_040226630	pstC
WP_085842527	pstC
WP_097162478	pstC
WP_047626848	pstC
WP_050861184	pstC
WP_023326366	pstC
WP_068795369	pstC
WP_047745070	pstC
WP_014172288	pstC
WP_048990815	pstC
WP_080329743	pstC
WP_041911741	pstC
WP_014072443	pstC
WP_015961093	pstC
WP_095284105	pstC
WP_090462722	pstC
WP_047372455	pstC
WP_024549249	pstC
EOY67184	pstC
EOY78461	pstC
AIK81900	pstC
WP_061280367	pstC
WP_004869204	pstC
WP_064144403	pstC
WP_061156293	pstC
WP_064182700	pstC
WP_080851702	pstC
WP_057222161	pstC
WP_094833268	pstC
WP_069484125	pstC
WP_094339860	pstC
WP_073545824	pstC
WP_064157118	pstC
WP_080901401	pstC
WP_064106671	pstC
WP_064179386	pstC
WP_055323282	pstC
WP_058876111	pstC
WP_006817874	pstC
WP_065805529	pstC
WP_072570884	pstC
WP_014881892	pstC
WP_028014924	pstC
WP_010426578	pstC
WP_061706623	pstC
OWB07061	pstC
SAA28617	pstC
WP_048756927	pstC
WP_002435543	pstC
WP_099001445	pstC
WP_049839436	pstC
WP_087759040	pstC
WP_039054890	pstC
WP_076769285	pstC
WP_007369384	pstC
WP_088221268	pstC
WP_042393492	pstC
WP_007765768	pstC
WP_064324200	pstC
WP_064138414	pstC
WP_012814712	pstC
WP_044182709	pstC
WP_006177572	pstC
WP_040077714	pstC
WP_053518688	pstC
WP_043081428	pstC
WP_042714850	pstC
WP_061499632	pstC
WP_004387546	pstC
WP_017375105	pstC
WP_017458058	pstC
WP_090123910	pstC
WP_063265137	pstC
WP_097647397	pstC
WP_097584153	pstC
WP_058910720	pstC
WP_013368367	pstC
WP_064597243	pstC
WP_036113982	pstC
WP_007754097	pstC
WP_007734331	pstC
WP_007677788	pstC
WP_064542005	pstC
WP_097570797	pstC
WP_034460683	pstC
WP_064514859	pstC
WP_038866403	pstC
WP_034499846	pstC
WP_061273161	pstC
WP_064561435	pstC
WP_008457726	pstC
WP_016538818	pstC
WP_038477339	pstC
WP_052901112	pstC
WP_002443707	pstC
WP_013511107	pstC
WP_017800297	pstC
WP_034830032	pstC
WP_009088219	pstC
WP_039381448	pstC
WP_065647892	pstC
WP_084878129	pstC
WP_039333012	pstC
WP_033755417	pstC
WP_038643966	pstC
WP_028725336	pstC
WP_006121208	pstC
WP_098051956	pstC
WP_013359566	pstC
WP_031376162	pstC
KMV68100	pstC
WP_056241078	pstC
WP_061719978	pstC
ORM63426	pstC
WP_084932810	pstC
WP_047713558	pstC
WP_022624789	pstC
WP_010258877	pstC
WP_061061184	pstC
WP_023656864	pstC
ORM74829	pstC
WP_031279603	pstC
WP_058770723	pstC
WP_081140538	pstC
WP_008106707	pstC
WP_049852408	pstC
WP_013023941	pstC
WP_063877776	pstC
WP_031590996	pstC
WP_064690427	pstC
WP_067434959	pstC
WP_025380089	pstC
WP_095846504	pstC
WP_097095504	pstC
WP_007893586	pstC
WP_075183349	pstC
WP_014539975	pstC
WP_012443130	pstC
WP_070135464	pstC
WP_058948674	pstC
WP_039555836	pstC
WP_050135159	pstC
WP_004707316	pstC
WP_005175159	pstC
WP_050099315	pstC
WP_005161153	pstC
WP_050127161	pstC
WP_050942184	pstC
WP_050078727	pstC
WP_003849546	pstC
WP_090966630	pstC
WP_062744094	pstC
WP_014542838	pstC
WP_015842338	pstC
WP_010681439	pstC
WP_072081348	pstC
WP_050109297	pstC
WP_050074013	pstC
WP_048618621	pstC
WP_004393015	pstC
WP_080984931	pstC
WP_080994194	pstC
WP_023161123	pstC
WP_050929450	pstC
WP_076943862	pstC
WP_095993275	pstC
WP_004171400	pstC
WP_004161216	pstC
WP_067700577	pstC
WP_024966277	pstC
WP_013204578	pstC
WP_081761317	pstC
WP_010981436	pstC
WP_004703884	pstC
WP_050113367	pstC
WP_049558408	pstC
WP_038637732	pstC
WP_086018768	pstC
WP_034898656	pstC
WP_034918184	pstC
WP_049635228	pstC
WP_046596781	pstC
WP_004713906	pstC
WP_016674034	pstC
WP_087795312	pstC
WP_056775946	pstC
WP_072927829	pstC
WP_082170730	pstC
WP_053907368	pstC
WP_049597427	pstC
WP_004718212	pstC
WP_057645044	pstC
WP_049610297	pstC
WP_011171987	pstC
WP_019212636	pstC
WP_015699285	pstC
WP_013577690	pstC
WP_095924043	pstC
WP_076637401	pstC
SIP71311	pstC
WP_038016354	pstC
WP_004262847	pstC
EEB45272	pstC
WP_006813825	pstC
WP_092878917	pstC
WP_042847813	pstC
OAT50753	pstC
WP_070929472	pstC
ETT03105	pstC
WP_008914407	pstC
WP_099109526	pstC
WP_004923595	pstC
WP_053110247	pstC
WP_009637501	pstC
WP_008912969	pstC
WP_047681648	pstC
KMV70688	pstC
OKP03608	pstC
CDL80380	pstC
WP_038194721	pstC
PHM28417	pstC
WP_092677294	pstC
WP_001243437	ibpA
WP_063270443	ibpA
WP_001586460	ibpA
WP_065222256	ibpA
WP_032188966	ibpA
WP_001243440	ibpA
EIQ16955	ibpA
WP_053890241	ibpA
WP_032329610	ibpA
WP_001705557	ibpA
WP_024250412	ibpA
WP_001243442	ibpA
WP_089625119	ibpA
WP_097500993	ibpA
WP_021530282	ibpA
WP_024251033	ibpA
WP_032319222	ibpA
WP_097415674	ibpA
WP_054628017	ibpA
WP_095764430	ibpA
WP_096930299	ibpA
WP_062872105	ibpA
WP_024241401	ibpA
WP_016246422	ibpA
WP_032220849	ibpA
WP_048970182	ibpA
WP_029487663	ibpA
WP_094396135	ibpA
KFH99493	ibpA
WP_001243439	ibpA
WP_001490286	ibpA
WP_088550448	ibpA
WP_079398858	ibpA
WP_057688007	ibpA
WP_044074550	ibpA
WP_001243438	ibpA
KFH81422	ibpA
WP_089537649	ibpA
WP_059224771	ibpA
WP_001243436	ibpA
WP_001462888	ibpA
WP_001709408	ibpA
WP_047083997	ibpA
WP_096937615	ibpA
CDW55189	ibpA
WP_033879245	ibpA
WP_044076984	ibpA
WP_057688707	ibpA
WP_096318003	ibpA
WP_006687722	ibpA
KTK71465	ibpA
ACF63914	ibpA
WP_046492381	ibpA
WP_042998723	ibpA
WP_032615564	ibpA
WP_080083144	ibpA
WP_023204772	ibpA
WP_079942524	ibpA
WP_004869150	ibpA
CCM91003	ibpA
WP_080225739	ibpA
WP_079967747	ibpA
WP_002435514	ibpA
WP_003023882	ibpA
WP_061383419	ibpA
WP_045448945	ibpA
WP_039502309	ibpA
WP_023891598	ibpA
WP_050938713	ibpA
ABR79474	ibpA
WP_040231504	ibpA
WP_050943386	ibpA
WP_061538184	ibpA
WP_088759359	ibpA
WP_079788449	ibpA
WP_079825999	ibpA
WP_050188571	ibpA
WP_042287217	ibpA
WP_097363160	ibpA
WP_058111459	ibpA
WP_050947412	ibpA
WP_046596863	ibpA
WP_097360444	ibpA
WP_069057522	ibpA
CAR39411	ibpA
WP_076933614	ibpA
WP_039032247	ibpA
WP_024553185	ibpA
WP_024556809	ibpA
WP_077944005	ibpA
WP_072570914	ibpA
AGR61062	ibpA
ABX23629	ibpA
WP_023178992	ibpA
WP_042937004	ibpA
WP_041937843	ibpA
WP_032451930	ibpA
WP_096645128	ibpA
WP_087748951	ibpA
EIQ79626	ibpA
WP_032104508	ibpA
WP_007729390	ibpA
WP_009651796	ibpA
WP_085406234	ibpA
WP_020455839	ibpA
WP_086872226	ibpA
WP_013364074	ibpA
WP_090462799	ibpA
WP_015343937	ibpA
WP_007369404	ibpA
WP_094300624	ibpA
WP_031522234	ibpA
WP_004107169	ibpA
WP_049848744	ibpA
WP_034460660	ibpA
WP_004385985	ibpA
WP_007674749	ibpA
WP_017458080	ibpA
WP_043956007	ibpA
WP_065357357	ibpA
WP_088221247	ibpA
WP_061273390	ibpA
WP_038161239	ibpA
WP_002443745	ibpA
WP_062776681	ibpA
WP_024548499	ibpA
WP_041143322	ibpA
WP_059180655	ibpA
WP_034499759	ibpA
WP_003861094	ibpA
WP_007765875	ibpA
WP_080787429	ibpA
WP_006817839	ibpA
WP_047372478	ibpA
WP_097162454	ibpA
WP_039080040	ibpA
WP_090123965	ibpA
WP_061492406	ibpA
WP_044182992	ibpA
WP_035896433	ibpA
WP_064514809	ibpA
WP_095102425	ibpA
WP_064542084	ibpA
WP_052284599	ibpA
WP_064324225	ibpA
WP_042393452	ibpA
WP_015703892	ibpA
WP_064561414	ibpA
WP_006177605	ibpA
WP_011915281	ibpA
WP_062933071	ibpA
WP_040077751	ibpA
WP_063150657	ibpA
WP_010426546	ibpA
WP_047050639	ibpA
WP_049839399	ibpA
WP_039054871	ibpA
WP_045784352	ibpA
WP_008460663	ibpA
WP_015369046	ibpA
WP_045141779	ibpA
WP_085540257	ibpA
WP_047061989	ibpA
WP_046888841	ibpA
WP_063138688	ibpA
AMX07471	ibpA
KFA84915	ibpA
WP_061706658	ibpA
WP_064597272	ibpA
WP_038477620	ibpA
WP_028017789	ibpA
WP_024907390	ibpA
WP_039288889	ibpA
WP_050862200	ibpA
WP_079231549	ibpA
WP_041911726	ibpA
WP_095279995	ibpA
WP_014167969	ibpA
WP_036113941	ibpA
WP_045289128	ibpA
WP_016538691	ibpA
WP_043081402	ibpA
WP_014068254	ibpA
WP_058910692	ibpA
WP_042715112	ibpA
WP_017375137	ibpA
WP_021181374	ibpA
WP_024483306	ibpA
WP_017490398	ibpA
WP_052901051	ibpA
WP_045048863	ibpA
WP_039346558	ibpA
WP_005976748	ibpA
WP_039276012	ibpA
WP_017800319	ibpA
WP_025120925	ibpA
WP_037401263	ibpA
WP_061797838	ibpA
WP_017891154	ibpA
WP_099064446	ibpA
WP_004950577	ibpA
WP_046374826	ibpA
WP_037421174	ibpA
WP_085115178	ibpA
WP_044554303	ibpA
WP_095701006	ibpA
WP_039485224	ibpA
WP_016674163	ibpA
WP_020824646	ibpA
WP_073440774	ibpA
WP_073532607	ibpA
WP_024912885	ibpA
WP_034794281	ibpA
WP_074013198	ibpA
WP_014917097	ibpA
WP_010281116	ibpA
WP_009637476	ibpA
WP_013573359	ibpA
WP_006121371	ibpA
WP_048636902	ibpA
WP_004933919	ibpA
WP_047569943	ibpA
WP_060388265	ibpA
WP_006321748	ibpA
WP_076943824	ibpA
WP_032908845	ibpA
WP_033773206	ibpA
WP_056775906	ibpA
ADD75249	ibpA
WP_055775481	ibpA
WP_046289498	ibpA
WP_014333282	ibpA
WP_021013664	ibpA
WP_062744073	ibpA
WP_056240982	ibpA
WP_021504161	ibpA
WP_004877597	ibpA
WP_005175116	ibpA
WP_046694351	ibpA
WP_067700519	ibpA
WP_013507211	ibpA
WP_034918126	ibpA
WP_005161080	ibpA
WP_095846477	ibpA
WP_038629345	ibpA
WP_067434906	ibpA
WP_010258920	ibpA
WP_089415184	ibpA
WP_084983605	ibpA
ORM73849	ibpA
WP_010617843	ibpA
WP_025420358	ibpA
OIV46186	ibpA
WP_025246957	ibpA
KMV68167	ibpA
WP_012443115	ibpA
CCP09040	ibpA
WP_038637644	ibpA
WP_016192433	ibpA
WP_049647227	ibpA
WP_075337809	ibpA
WP_050291899	ibpA
WP_005271591	ibpA
WP_034889306	ibpA
WP_004392982	ibpA
WP_011817454	ibpA
WP_083161510	ibpA
WP_017349337	ibpA
WP_011409873	ibpA
WP_003849623	ibpA
AIA15659	ibpA
WP_048785291	ibpA
WP_039332036	ibpA
WP_031591032	ibpA
WP_009110833	ibpA
WP_009088277	ibpA
WP_035345192	ibpA
WP_013315795	ibpA
WP_038664301	ibpA
WP_022635392	ibpA
WP_085686608	ibpA
EEP96873	ibpA
EEQ19064	ibpA
WP_047779504	ibpA
ADP10815	ibpA
CAY76326	ibpA
WP_050113339	ibpA
WP_050109260	ibpA
WP_054872280	ibpA
WP_004707277	ibpA
WP_049597402	ibpA
WP_064515931	ibpA
WP_049612196	ibpA
WP_042547371	ibpA
WP_032906740	ibpA
WP_085069121	ibpA
WP_015344011	ibpA
CRL43598	ibpA
WP_033755460	ibpA
WP_081140557	ibpA
WP_039381531	ibpA
WP_015855559	ibpA
WP_008105285	ibpA
WP_016942752	ibpA
WP_072927791	ibpA
WP_026743660	ibpA
WP_023656845	ibpA
WP_004094024	ibpA
WP_050099374	ibpA
WP_025797316	ibpA
WP_072308160	ibpA
WP_040045270	ibpA
WP_050539679	ibpA
WP_050300368	ibpA
WP_049610232	ibpA
WP_098905072	ibpA
WP_053009812	ibpA
WP_049633367	ibpA
WP_029093427	ibpA
WP_004957020	ibpA
WP_027273783	ibpA
WP_012886670	ibpA
WP_097095476	ibpA
WP_024104067	ibpA
WP_049852393	ibpA
WP_026740821	ibpA
WP_094100320	ibpA
WP_042526769	ibpA
WP_050083395	ibpA
WP_057645797	ibpA
WP_025376434	ibpA
WP_049616355	ibpA
WP_019212666	ibpA
ORM63397	ibpA
KYP97236	ibpA
WP_007893512	ibpA
WP_015848396	ibpA
WP_040003093	ibpA
WP_004718257	ibpA
WP_045844371	ibpA
WP_004713869	ibpA
WP_034830093	ibpA
WP_023489190	ibpA
WP_033576598	ibpA
WP_034864554	ibpA
WP_013975537	ibpA
WP_024966304	ibpA
WP_038242176	ibpA
WP_038276530	ibpA
WP_078002538	ibpA
WP_092879054	ibpA
WP_038016416	ibpA
WP_087486742	ibpA
WP_075182421	ibpA
WP_028685261	ibpA
WP_029685321	ibpA
WP_015460648	ibpA
WP_005291098	ibpA
WP_012846891	ibpA
WP_077999296	ibpA
WP_035596287	ibpA
WP_067498060	ibpA
WP_024522824	ibpA
WP_034164474	ibpA
WP_049648752	ibpA
WP_015869496	ibpA
WP_067568914	ibpA
WP_083172438	ibpA
WP_075762033	ibpA
WP_087023678	ibpA
WP_086938826	ibpA
WP_011216889	ibpA
WP_006233341	ibpA
WP_077751871	ibpA
WP_076409468	ibpA
WP_094201931	ibpA
WP_054674601	ibpA
WP_014290873	ibpA
WP_047887513	ibpA
WP_011282573	ibpA
WP_042047708	ibpA
WP_046305344	ibpA
WP_048900065	ibpA
WP_039463476	ibpA
WP_068334175	ibpA
WP_036831847	ibpA
WP_011865932	ibpA
WP_041511094	ibpA
WP_033538055	ibpA
WP_005351577	ibpA
WP_012324583	ibpA
WP_011126316	ibpA
WP_076576149	ibpA
WP_062690412	ibpA
WP_045956200	ibpA
WP_044622214	ibpA
WP_006880034	ibpA
WP_047872569	ibpA
WP_032548618	ibpA
WP_087112784	ibpA
WP_007468683	ibpA
WP_054963307	ibpA
WP_049844539	ibpA
WP_047880851	ibpA
WP_038208655	ibpA
KOO14835	ibpA
WP_039478828	ibpA
WP_008075487	ibpA
WP_005472612	ibpA
WP_038215820	ibpA
WP_004411053	ibpA
WP_078926828	ibpA
WP_012551364	ibpA
WP_017020776	ibpA
WP_023604444	ibpA
WP_065594541	ibpA
WP_042502456	ibpA
WP_096994004	ibpA
GAL12768	ibpA
WP_050653692	ibpA
WP_009600304	ibpA
WP_038141351	ibpA
WP_016767546	ibpA
WP_017055486	ibpA
WP_004739258	ibpA
WP_048657811	ibpA
WP_009848140	ibpA
WP_060983461	ibpA
WP_073604402	ibpA
WP_022608398	ibpA
WP_061005050	ibpA
WP_065611932	ibpA
SEG58383	ibpA
GAL29445	ibpA
WP_042478137	ibpA
WP_043009584	ibpA
WP_019273978	ibpA
WP_006075097	ibpA
WP_095573192	ibpA
WP_031342871	ibpA
WP_006957473	ibpA
WP_095562066	ibpA
WP_050718221	ibpA
WP_069667993	ibpA
WP_004743598	ibpA
WP_053394345	ibpA
WP_017107513	ibpA
WP_054548327	ibpA
WP_048618373	ibpA
WP_017080845	ibpA
WP_060468924	ibpA
WP_061033944	ibpA
WP_004736683	ibpA
WP_010433156	ibpA
WP_017073812	ibpA
WP_019825575	ibpA
WP_053408029	ibpA
WP_005416787	ibpA
WP_045973967	ibpA
WP_076590515	ibpA
WP_065623672	ibpA
EGI08929	ibpB
AKK14564	ibpB
ESE25274	ibpB
EGI14153	ibpB
WP_001243432	ibpB
EMV36345	ibpB
CSP63078	ibpB
WP_021569927	ibpB
WP_072794420	ibpB
WP_021516587	ibpB
WP_088556069	ibpB
WP_097496471	ibpB
WP_001243426	ibpB
WP_001243430	ibpB
WP_075660574	ibpB
WP_089568095	ibpB
WP_038404401	ibpB
WP_059340794	ibpB
WP_080028770	ibpB
WP_001243433	ibpB
WP_042209774	ibpB
WP_032214646	ibpB
WP_003618076	ibpB
WP_063113586	ibpB
WP_001243434	ibpB
WP_087530483	ibpB
WP_077492901	ibpB
WP_074576853	ibpB
WP_001243425	ibpB
WP_001514669	ibpB
WP_073503494	ibpB
WP_060624680	ibpB
WP_001243424	ibpB
WP_063112890	ibpB
WP_053892703	ibpB
WP_001510536	ibpB
WP_001243429	ibpB
WP_096184390	ibpB
WP_021554211	ibpB
WP_001704201	ibpB
WP_001243435	ibpB
WP_097757870	ibpB
WP_052983167	ibpB
WP_089641992	ibpB
WP_094931597	ibpB
WP_001243428	ibpB
WP_089636801	ibpB
WP_088145590	ibpB
WP_033810867	ibpB
WP_088568627	ibpB
WP_016237173	ibpB
KFH94858	ibpB
WP_062850971	ibpB
WP_050936601	ibpB
WP_062867701	ibpB
WP_001486242	ibpB
WP_001665026	ibpB
WP_089583465	ibpB
WP_001243427	ibpB
WP_097494610	ibpB
WP_087891894	ibpB
WP_062872106	ibpB
WP_001132431	ibpB
WP_064526102	ibpB
WP_063078759	ibpB
WP_001466473	ibpB
OZT10421	ibpB
WP_044866110	ibpB
WP_061344207	ibpB
WP_097422849	ibpB
CDL44644	ibpB
WP_001132433	ibpB
WP_059274368	ibpB
WP_059215329	ibpB
WP_059242153	ibpB
WP_059271851	ibpB
WP_054410686	ibpB
WP_001132434	ibpB
EIP24955	ibpB
WP_001132432	ibpB
ELO84232	ibpB
WP_006687721	ibpB
WP_047460126	ibpB
WP_012908010	ibpB
WP_042311452	ibpB
WP_012000793	ibpB
WP_079965575	ibpB
WP_043018803	ibpB
WP_071259100	ibpB
WP_005121488	ibpB
WP_003840609	ibpB
WP_065680628	ibpB
WP_001650110	ibpB
WP_079897549	ibpB
WP_003827096	ibpB
WP_047407721	ibpB
WP_060682995	ibpB
WP_003023884	ibpB
WP_058587345	ibpB
WP_047358464	ibpB
WP_061549951	ibpB
WP_048217032	ibpB
WP_045448943	ibpB
WP_032694291	ibpB
WP_014227324	ibpB
WP_004107167	ibpB
WP_042287214	ibpB
WP_076728252	ibpB
WP_050948346	ibpB
WP_070556513	ibpB
WP_001246917	ibpB
WP_076737531	ibpB
WP_065621997	ibpB
WP_023261856	ibpB
WP_094915470	ibpB
WP_001246918	ibpB
WP_023237942	ibpB
WP_079846584	ibpB
WP_023255327	ibpB
EPE53879	ibpB
WP_042998722	ibpB
WP_096759003	ibpB
WP_004126915	ibpB
WP_082237956	ibpB
WP_064344035	ibpB
WP_017145199	ibpB
WP_042946144	ibpB
WP_008806750	ibpB
WP_064380972	ibpB
WP_001134429	ibpB
WP_023183867	ibpB
WP_098097765	ibpB
WP_079823618	ibpB
WP_001766501	ibpB
WP_080225734	ibpB
WP_079802541	ibpB
WP_079825997	ibpB
WP_050187792	ibpB
WP_046498465	ibpB
WP_061075832	ibpB
WP_060656542	ibpB
WP_094955467	ibpB
WP_080929312	ibpB
WP_064180758	ibpB
WP_004145074	ibpB
WP_087829843	ibpB
WP_048269617	ibpB
WP_015343938	ibpB
WP_023247230	ibpB
WP_095102428	ibpB
WP_041143321	ibpB
WP_001134430	ibpB
WP_087759317	ibpB
WP_046081376	ibpB
WP_042323616	ibpB
WP_094850934	ibpB
WP_053809839	ibpB
WP_065804547	ibpB
WP_045853755	ibpB
WP_062920365	ibpB
WP_023291450	ibpB
WP_048993964	ibpB
WP_085346155	ibpB
WP_015959173	ibpB
WP_038992266	ibpB
WP_004181593	ibpB
WP_048298599	ibpB
WP_044525095	ibpB
PAT26627	ibpB
KTG77894	ibpB
WP_080329762	ibpB
WP_020324521	ibpB
WP_015585468	ibpB
WP_042393451	ibpB
WP_045378086	ibpB
WP_015369047	ibpB
WP_049848743	ibpB
WP_087822892	ibpB
WP_061706659	ibpB
WP_016538690	ibpB
WP_054178089	ibpB
WP_032662053	ibpB
WP_020882745	ibpB
WP_048999173	ibpB
WP_058910772	ibpB
WP_064540697	ibpB
WP_004869149	ibpB
WP_028017790	ibpB
WP_049007071	ibpB
WP_008500161	ibpB
WP_063418132	ibpB
WP_006817838	ibpB
WP_025756980	ibpB
WP_059311582	ibpB
WP_010426545	ibpB
WP_058842025	ibpB
WP_038161236	ibpB
WP_023309816	ibpB
WP_025202652	ibpB
WP_046883260	ibpB
WP_048957705	ibpB
WP_024907389	ibpB
WP_048961387	ibpB
WP_023331674	ibpB
WP_028014943	ibpB
WP_073397499	ibpB
WP_014068255	ibpB
WP_063155239	ibpB
WP_015570126	ibpB
WP_035896434	ibpB
WP_061096708	ibpB
WP_038477623	ibpB
WP_033144350	ibpB
WP_086625991	ibpB
WP_047957402	ibpB
WP_095279997	ibpB
WP_008460665	ibpB
WP_045353360	ibpB
WP_023333939	ibpB
WP_044597415	ibpB
WP_039298731	ibpB
WP_047650016	ibpB
WP_039288887	ibpB
WP_014881915	ibpB
WP_059445891	ibpB
WP_047347434	ibpB
WP_017383692	ibpB
WP_063157091	ibpB
WP_006808781	ibpB
WP_047173141	ibpB
WP_063452058	ibpB
WP_063867147	ibpB
WP_088221246	ibpB
WP_017375138	ibpB
WP_072570916	ibpB
WP_002435512	ibpB
WP_031522232	ibpB
WP_043081401	ibpB
WP_013094790	ibpB
WP_032644236	ibpB
WP_095440329	ibpB
WP_045328682	ibpB
WP_062933072	ibpB
WP_022646539	ibpB
WP_045784351	ibpB
WP_059180654	ibpB
WP_003861091	ibpB
WP_050870973	ibpB
WP_006177606	ibpB
WP_061772100	ibpB
WP_048283616	ibpB
WP_040077752	ibpB
WP_020685434	ibpB
WP_047360530	ibpB
WP_014830040	ibpB
WP_059353842	ibpB
WP_048287913	ibpB
WP_011915282	ibpB
WP_090462796	ibpB
WP_047056913	ibpB
WP_052284600	ibpB
WP_096946526	ibpB
WP_048997355	ibpB
WP_063855768	ibpB
WP_058609910	ibpB
WP_062742390	ibpB
WP_058678970	ibpB
WP_077226440	ibpB
WP_032615566	ibpB
WP_059309044	ibpB
WP_061280422	ibpB
WP_062776682	ibpB
WP_064324226	ibpB
WP_039080041	ibpB
WP_047372479	ibpB
WP_039054870	ibpB
WP_013364075	ibpB
WP_049839398	ibpB
WP_044182995	ibpB
WP_064542087	ibpB
WP_064561413	ibpB
WP_090088085	ibpB
WP_034460659	ibpB
WP_017458081	ibpB
WP_024553186	ibpB
WP_029590064	ibpB
WP_039032248	ibpB
WP_043956008	ibpB
WP_064562540	ibpB
WP_074776341	ibpB
WP_007369405	ibpB
WP_071921730	ibpB
WP_024556808	ibpB
WP_034499757	ibpB
WP_061492407	ibpB
WP_024548500	ibpB
WP_097162453	ibpB
WP_064597274	ibpB
WP_042715111	ibpB
WP_036113930	ibpB
WP_002443746	ibpB
WP_007674751	ibpB
WP_041923035	ibpB
WP_007779755	ibpB
WP_014729919	ibpB
WP_007765888	ibpB
WP_097570826	ibpB
WP_004385984	ibpB
WP_007703806	ibpB
WP_097584126	ibpB
WP_007729396	ibpB
WP_038866292	ibpB
WP_038875708	ibpB
WP_095835233	ibpB
WP_048636903	ibpB
WP_095701005	ibpB
WP_056775904	ibpB
WP_024522823	ibpB
WP_052903999	ibpB
WP_039502461	ibpB
WP_010281114	ibpB
WP_095993320	ibpB
WP_039485226	ibpB
WP_027273782	ibpB
WP_034164588	ibpB
WP_039308068	ibpB
WP_014917096	ibpB
WP_012821896	ibpB
WP_039363580	ibpB
WP_011095863	ibpB
WP_005976752	ibpB
WP_010296869	ibpB
WP_025919942	ibpB
WP_094370762	ibpB
WP_039276014	ibpB
WP_039533543	ibpB
WP_033072385	ibpB
WP_012772780	ibpB
WP_039346561	ibpB
WP_048256115	ibpB
WP_040032806	ibpB
WP_027713555	ibpB
WP_040003091	ibpB
WP_015848395	ibpB
WP_035602810	ibpB
WP_005291096	ibpB
WP_098142780	ibpB
WP_012846892	ibpB
WP_029093426	ibpB
WP_009110834	ibpB
WP_038909900	ibpB
WP_013315796	ibpB
WP_038899960	ibpB
WP_057084429	ibpB
WP_022635391	ibpB
WP_064575538	ibpB
WP_004094026	ibpB
WP_084983604	ibpB
WP_055775483	ibpB
WP_039542090	ibpB
KHS94374	ibpB
WP_038917402	ibpB
WP_038664304	ibpB
WP_008815737	ibpB
WP_017490397	ibpB
WP_072927789	ibpB
WP_045048862	ibpB
WP_042858136	ibpB
WP_012886669	ibpB
WP_016942753	ibpB
WP_029729174	ibpB
WP_024104068	ibpB
WP_014333284	ibpB
WP_013573361	ibpB
WP_034794280	ibpB
WP_015869497	ibpB
WP_081167122	ibpB
WP_035345189	ibpB
WP_040045269	ibpB
WP_025797314	ibpB
WP_046457318	ibpB
WP_072308161	ibpB
WP_073532608	ibpB
WP_033568944	ibpB
WP_038909340	ibpB
WP_023641060	ibpB
WP_096385876	ibpB
WP_095924023	ibpB
WP_034864553	ibpB
WP_025120926	ibpB
WP_015344012	ibpB
WP_061321792	ibpB
WP_054306089	ibpB
WP_004392984	ibpB
WP_049558498	ibpB
WP_038637641	ibpB
AAM87644	ibpB
WP_079656085	ibpB
WP_025381946	ibpB
WP_033851943	ibpB
WP_015855558	ibpB
WP_037421171	ibpB
WP_020824647	ibpB
WP_061797840	ibpB
WP_060431130	ibpB
WP_004933922	ibpB
WP_033653955	ibpB
WP_057625798	ibpB
WP_005161076	ibpB
WP_053009811	ibpB
WP_019212667	ibpB
WP_050109259	ibpB
WP_050083396	ibpB
WP_049610229	ibpB
WP_004707276	ibpB
WP_050300369	ibpB
WP_095846476	ibpB
WP_021181373	ibpB
WP_019455504	ibpB
WP_085058452	ibpB
WP_060428489	ibpB
WP_089196377	ibpB
WP_049601110	ibpB
WP_048618480	ibpB
WP_049647226	ibpB
WP_050539343	ibpB
WP_049612500	ibpB
WP_005271590	ibpB
WP_004877595	ibpB
WP_050143950	ibpB
WP_039991482	ibpB
WP_044554304	ibpB
WP_024483305	ibpB
WP_099064447	ibpB
WP_006322865	ibpB
WP_013810933	ibpB
WP_012004522	ibpB
WP_006321742	ibpB
WP_064515929	ibpB
WP_042526771	ibpB
WP_049597401	ibpB
WP_024912884	ibpB
WP_024527352	ibpB
WP_076943822	ibpB
WP_063198860	ibpB
WP_004950579	ibpB
WP_038242174	ibpB
WP_005186791	ibpB
WP_050074022	ibpB
WP_025376435	ibpB
WP_042547372	ibpB
WP_004699505	ibpB
WP_010952492	mepC
WP_076402230	mepC
WP_003251955	mepC
WP_019437966	mepC
WP_098089325	mepC
WP_012273979	mepC
WP_021785782	mepC
WP_051098389	mepC
WP_016488875	mepC
WP_016713642	mepC
WP_096426707	mepC
WP_023048881	mepC
WP_060497966	mepC
